Date,Day,Quantity,Total,Profit,Category
02-02-2024,Friday,123,14750,1378,"Veg Shawarma, Non Veg Shawarma, Open Non Veg Shawarma, Non Veg Salad, Fries, Extras, Veg Momos, Veg Grillers, Veg Rice Bowl, Coolers, Frappes, Beverages"
03-02-2024,Saturday,112,12450,1364,"Veg Shawarma, Non Veg Shawarma, Desserts, Open Veg Shawarma, Veg Salad, Fries, Extras, Veg Momos, Veg Momos, Veg Grillers, Coolers, Beverages"
04-02-2024,Sunday,167,19520,7845,"Non Veg Shawarma, Platters, Desserts, Open Non Veg Shawarma, Veg Salad, Non Veg Salad, Fries, Veg Momos, Non Veg Momos, Non Veg Grillers, Coolers, Frappes, Beverages"
05-02-2024,Monday,102,11330,1343,"Veg Shawarma, Non Veg Shawarma, Open Veg Shawarma, Platters, Desserts, Open Veg Shawarma, Veg Salad, Extras, Veg Momos, Coolers, Beverages"
06-02-2024,Tuesday,98,10545,985,"Veg Shawarma, Non Veg Shawarma, Desserts, Open Veg Shawarma, Veg Salad, Fries, Extras, Veg Momos, Coolers, Beverages"
07-02-2024,Wednesday,123,15520,2753,"Veg Shawarma, Non Veg Shawarma, Desserts, Open Veg Shawarma, Open Non Veg Shawarma, Fries, Extras, Non Veg Momos, Non Veg Grillers, Coolers, Frappes, Beverages"
08-02-2024,Thursday,106,11945,2334,"Veg Shawarma, Non Veg Shawarma, Desserts, Open Non Veg Shawarma,  Non Veg Salad, Extras, Non Veg Momos, Veg Grillers, Coolers, Frappes, Beverages"
09-02-2024,Friday,131,15180,2445,"Veg Shawarma, Non Veg Shawarma, Platters, Desserts, Open Non Veg Shawarma, Non Veg Salad,Extras, Non Veg Momos, Non Veg Rice Bowl, Beverages"
10-02-2024,Saturday,92,99045,913,"Veg Shawarma, Non Veg Shawarma, Platters, Open Veg Shawarma, Veg Salad, Fries, Extras, Veg Momos, Veg Grillers, Frappes, Beverages"
11-02-2024,Sunday,136,16380,2743,"Veg Shawarma, Non Veg Shawarma, Non Veg Salad, Fries, Extras, Veg Momos, Non Veg Momos, Non Veg Grillers, Coolers, Frappes, Beverages"
12-02-2024,Monday,110,13520,1464,"Veg Shawarma, Non Veg Shawarma, Platters, Desserts, Open Veg Shawarma, Veg Salad, Fries, Extras, Veg Momos, Veg Rice Bowl, Coolers, Beverages"
13-02-2024,Tuesday,101,10210,1158,"Veg Shawarma, Non Veg Shawarma, Desserts, Open Veg Shawarma, Veg Salad, Veg Momos, Fries, Extras, Coolers, Frappes, Beverages"
14-02-2024,Wednesday,119,13510,2145,"Veg Shawarma, Non Veg Shawarma, Desserts, Open Veg Shawarma, Open Non Veg Shawarma, Fries, Extras, Non Veg Momos, Non Veg Grillers, Frappes, Beverages"
15-02-2024,Thursday,105,11785,1275,"Veg Shawarma, Non Veg Shawarma, Desserts, Open Veg Shawarma, Veg Salad, Fries, Veg Momos, Veg Grillers, Veg Rice Bowl, Coolers, rappes, Beverages"
16-02-2024,Friday,130,15855,3234,"Non Veg Shawarma, Platters, Desserts, Open Non Veg Shawarma, Non Veg Salad, Non Veg Momos, Non Veg Grillers, Frappes, Beverages"
17-02-2024,Saturday,121,14645,2745,"Veg Shawarma, Non Veg Shawarma, Platters, Open Veg Shawarma, Veg Salad, Non Veg Salad, Fries, Veg Momos, Frappes, Beverages"
18-02-2024,Sunday,156,18750,3451,"Veg Shawarma, Non Veg Shawarma, Desserts, Open Non Veg Shawarma, Non Veg Salad, Fries, Extras, Non Veg Momos, Coolers, Frappes, Beverages"
19-02-2024,Monday,129,15255,2873,"Veg Shawarma, Non Veg Shawarma, Platters, Desserts, Open Veg Shawarma, Veg Salad, Non Veg Salad, Fries, Extras, Non Veg Momos, Coolers, Beverages"
20-02-2024,Tuesday,110,11615,1360,"Veg Shawarma, Non Veg Shawarma, Desserts, Open Non Veg Shawarma, Veg Salad, Extras, Veg Momos, Non Veg Momos, Veg Grillers, Coolers, Frappes, Beverages"
21-02-2024,Wednesday,132,16445,2580,"Non Veg Shawarma, Desserts, Open Veg Shawarma, Open Non Veg Shawarma, Non Veg Salad, Fries, Non Veg Momos, Frappes, Beverages"
22-02-2024,Thursday,106,12980,1522,"Veg Shawarma, Non Veg Shawarma, Desserts, Open Veg Shawarma, Veg Salad, Fries, Extras, Veg Momos, Veg Momos, Veg Grillers, Coolers, Beverages"
23-02-2024,Friday,114,13620,1709,"Veg Shawarma, Non Veg Shawarma, Desserts, Non Veg Salad, Fries, Extras, Veg Momos, Non Veg Momos, Non Veg Rice Bowl, Coolers, Frappes, Beverages"
24-02-2024,Saturday,128,15955,2321,"Veg Shawarma, Non Veg Shawarma, Desserts, Open Veg Shawarma, Open Non Veg Shawarma, Non Veg Salad, Fries, Non Veg Momos, Frappes, Beverages"
25-02-2024,Sunday,140,17355,3467,"Veg Shawarma, Non Veg Shawarma, Desserts, Open Veg Shawarma, Open Non Veg Shawarma, Non Veg Salad, Veg Momos, Non Veg Momos, Coolers, Frappes, Beverages"
26-02-2024,Monday,113,13655,1899,"Veg Shawarma, Non Veg Shawarma, Desserts, Open Veg Shawarma, Veg Salad, Fries, Extras, Veg Momos, Veg Grillers, Veg Rice Bowl, Coolers, Beverages"
27-02-2024,Tuesday,99,12030,990,"Veg Shawarma, Non Veg Shawarma, Platters, Desserts, Open Veg Shawarma, Veg Salad, Fries, Extras, Veg Momos, Coolers, Frappes, Beverages"
28-02-2024,Wednesday,118,14315,1678,"Veg Shawarma, Non Veg Shawarma, Desserts, Open Veg Shawarma, Open Non Veg Shawarma, Non Veg Salad, Extras, Non Veg Momos, Non Veg Grillers, Coolers, Frappes, Beverages"
29-02-2024,Thursday,109,11450,1255,"Veg Shawarma, Platters, Open Veg Shawarma, Veg Salad, Fries, Extras, Veg Momos, Non Veg Grillers, Frappes, Beverages"
01-03-2024,Friday,121,14655,1622,"Veg Shawarma, Non Veg Shawarma, Platters, Desserts, Open Non Veg Shawarma, Non Veg Salad, Fries, Veg Momos, Non Veg Momos, Non Veg Rice Bowl, Beverages"
02-03-2024,Saturday,114,13660,1685,"Veg Shawarma, Non Veg Shawarma, Platters, Desserts, Open Non Veg Shawarma, Non Veg Salad, Fries, Non Veg Momos, Frappes, Beverages"
03-03-2024,Sunday,148,18015,3520,"Veg Shawarma, Non Veg Shawarma, Platters, Open Non Veg Shawarma, Non Veg Salad, Fries, Non Veg Momos, Coolers, Frappes, Beverages"
04-03-2024,Monday,139,10230,1205,"Veg Shawarma, Non Veg Shawarma, Platters, Desserts, Open Non Veg Shawarma, Non Veg Salad, Fries, Extras, Non Veg Momos, Veg Grillers, Coolers, Frappes, Beverages"
05-03-2024,Tuesday,120,14535,2645,"Veg Shawarma, Non Veg Shawarma, Desserts, Veg Salad, Fries, Extras, Veg Momos, Non Veg Momos, Veg Rice Bowl, Frappes, Beverages"
06-03-2024,Wednesday,142,17510,945,"Non Veg Shawarma, Platters, Desserts, Open Veg Shawarma, Open Non Veg Shawarma, Veg Salad, Fries, Non Veg Momos, Coolers, Frappes, Beverages"
07-03-2024,Thursday,102,11045,1023,"Veg Shawarma, Non Veg Shawarma, Platters, Veg Salad, Non Veg Salad, Fries, Extras, Veg Momos, Non Veg Rice Bowl, Coolers, Frappes, Beverages"
08-03-2024,Friday,116,13750,2345,"Veg Shawarma, Non Veg Shawarma, Open Non Veg Shawarma, Non Veg Salad, Fries, Extras, Non Veg Momos, Non Veg Grillers, Coolers, Frappes, Beverages"
09-03-2024,Saturday,124,14450,5349,"Veg Shawarma, Non Veg Shawarma, Desserts, Open Veg Shawarma, Veg Salad, Fries, Extras, Veg Momos, Non Veg Momos, Veg Grillers, Coolers, Beverages"
10-03-2024,Sunday,150,18520,5235,"Veg Shawarma, Non Veg Shawarma, Desserts, Open Veg Shawarma, Open Non Veg Shawarma, Non Veg Salad, Veg Momos, Non Veg Momos, Coolers, Frappes, Beverages"
11-03-2024,Monday,114,12630,5645,"Veg Shawarma, Non Veg Shawarma, Desserts, Open Veg Shawarma, Veg Salad, Fries, Veg Momos, Veg Grillers, Coolers, Beverages"
12-03-2024,Tuesday,99,10545,3245,"Veg Shawarma, Non Veg Shawarma, Platters, Desserts, Open Veg Shawarma, Veg Salad, Fries, Veg Momos, Coolers, Frappes, Beverages"
13-03-2024,Wednesday,128,15530,1256,"Veg Shawarma, Non Veg Shawarma, Desserts, Open Veg Shawarma, Open Non Veg Shawarma, Non Veg Salad, Extras, Non Veg Momos, Frappes, Beverages"
14-03-2024,Thursday,119,12945,945,"Veg Shawarma, Platters, Open Veg Shawarma, Veg Salad, Fries, Extras, Veg Momos, Veg Grillers, Frappes, Beverages"
15-03-2024,Friday,132,16185,2345,"Veg Shawarma, Non Veg Shawarma, Platters, Desserts, Open Non Veg Shawarma, Non Veg Salad, Fries, Non Veg Momos, Coolers, Beverages"
16-03-2024,Saturday,126,14645,913,"Veg Shawarma, Non Veg Shawarma, Platters, Open Veg Shawarma, Veg Salad, Non Veg Salad, Fries, Veg Momos, Frappes, Beverages"
17-03-2024,Sunday,146,18750,2243,"Veg Shawarma, Non Veg Shawarma, Desserts, Open Non Veg Shawarma, Non Veg Salad, Fries, Extras, Non Veg Momos, Coolers, Frappes, Beverages"
18-03-2024,Monday,125,15255,1414,"Veg Shawarma, Non Veg Shawarma, Platters, Desserts, Open Veg Shawarma, Veg Salad, Non Veg Salad, Fries, Extras, Non Veg Momos, Veg Grillers Coolers, Beverages"
19-03-2024,Tuesday,112,11615,1258,"Veg Shawarma, Non Veg Shawarma, Desserts, Open Non Veg Shawarma, Veg Salad, Extras, Veg Momos, Non Veg Momos, Veg Grillers, Coolers, Frappes, Beverages"
20-03-2024,Wednesday,133,16445,2245,"Non Veg Shawarma, Desserts, Open Veg Shawarma, Open Non Veg Shawarma, Non Veg Salad, Fries, Non Veg Momos, Frappes, Beverages"
21-03-2024,Thursday,107,12980,1275,"Veg Shawarma, Non Veg Shawarma, Desserts, Open Veg Shawarma, Veg Salad, Fries, Extras, Veg Momos, Veg Momos, Coolers, Beverages"
22-03-2024,Friday,115,13620,3134,"Veg Shawarma, Non Veg Shawarma, Desserts, Non Veg Salad, Fries, Extras, Veg Momos, Non Veg Momos, Non Veg Rice Bowl, Coolers, Frappes, Beverages"
23-03-2024,Saturday,125,15955,2745,"Veg Shawarma, Non Veg Shawarma, Desserts, Open Veg Shawarma, Open Non Veg Shawarma, Non Veg Salad, Fries, Non Veg Momos, Frappes, Beverages"
24-03-2024,Sunday,141,17345,2743,"Non Veg Shawarma, Platters, Desserts, Open Non Veg Shawarma, Veg Salad, Non Veg Salad, Fries, Veg Momos, Non Veg Momos, Non Veg Grillers, Coolers, Frappes, Beverages"
25-03-2024,Monday,118,12655,1464,"Veg Shawarma, Non Veg Shawarma, Open Veg Shawarma, Platters, Desserts, Open Veg Shawarma, Veg Salad, Extras, Veg Momos, Coolers, Beverages"
26-03-2024,Tuesday,98,9925,1158,"Veg Shawarma, Non Veg Shawarma, Desserts, Open Veg Shawarma, Veg Salad, Fries, Extras, Veg Momos, Coolers, Frappes, Beverages"
27-03-2024,Wednesday,128,13165,2155,"Veg Shawarma, Non Veg Shawarma, Desserts, Open Veg Shawarma, Open Non Veg Shawarma, Fries, Extras, Non Veg Momos, Non Veg Grillers, Coolers, Frappes, Beverages"
28-03-2024,Thursday,99,11125,1255,"Veg Shawarma, Non Veg Shawarma, Desserts, Open Non Veg Shawarma,  Non Veg Salad, Extras, Non Veg Momos, Veg Grillers, Coolers, Frappes, Beverages"
29-03-2024,Friday,122,14755,3134,"Veg Shawarma, Non Veg Shawarma, Platters, Desserts, Open Non Veg Shawarma, Non Veg Salad,Extras, Non Veg Momos, Non Veg Rice Bowl, Beverages"
30-03-2024,Saturday,124,12440,2745,"Veg Shawarma, Non Veg Shawarma, Platters, Open Veg Shawarma, Veg Salad, Fries, Extras, Veg Momos, Veg Grillers, Frappes, Beverages"
31-03-2024,Sunday,148,19540,3451,"Veg Shawarma, Non Veg Shawarma, Non Veg Salad, Fries, Extras, Veg Momos, Non Veg Momos, Non Veg Grillers, Coolers, Frappes, Beverages"
