Date,Day,Quantity,Total,Profit,Category
31-10-2023,Tuesday,97,10110,1709,"Veg Shawarma, Non Veg Shawarma, Desserts, Open Veg Shawarma, Veg Salad, Fries, Extras, Veg Momos, Coolers, Frappes, Beverages"
01-11-2023,Wednesday,121,14560,1345,"Veg Shawarma, Non Veg Shawarma, Desserts, Open Veg Shawarma, Open Non Veg Shawarma, Fries, Extras, Non Veg Momos, Non Veg Grillers, Coolers, Frappes, Beverages"
02-11-2023,Thursday,110,11955,1687,"Veg Shawarma, Non Veg Shawarma, Desserts, Open Non Veg Shawarma, Veg Salad, Non Veg Salad, Fries, Extras, Veg Momos, Coolers, Frappes, Beverages"
03-11-2023,Friday,122,14275,1287,"Veg Shawarma, Non Veg Shawarma, Platters, Desserts, Non Veg Salad,, Extras, Veg Momos, Non Veg Momos, Non Veg Rice Bowl, Coolers, Beverages"
04-11-2023,Saturday,94,89245,978,"Veg Shawarma, Non Veg Shawarma, Desserts, Open Non Veg Shawarma, Veg Salad, Non Veg Salad,Non Veg Momos, Veg Grillers, Beverages"
05-11-2023,Sunday,137,16770,1576,"Veg Shawarma, Non Veg Shawarma, Platters, Desserts, Open Non Veg Shawarma, Non Veg Salad, Fries, Extras, Non Veg Momos, Non Veg Grillers, Coolers, Frappes, Beverages"
06-11-2023,Monday,116,11740,1037,"Veg Shawarma, Non Veg Shawarma, Platters, Veg Salad, Veg Salad, Non Veg Salad, Fries, Extras, Non Veg Momos, Veg Rice Bowl, Frappes, Beverages"
07-11-2023,Tuesday,104,10215,1538,"Veg Shawarma, Non Veg Shawarma, Desserts, Open Veg Shawarma, Veg Salad, Fries, Extras, Veg Momos, Non Veg Momos, Veg Grillers, Coolers, Beverages"
08-11-2023,Wednesday,121,13525,1387,"Veg Shawarma, Non Veg Shawarma, Platters, Desserts, Open Veg Shawarma, Open Non Veg Shawarma, Non Veg Salad, Fries, Extras, Non Veg Momos, Coolers, Beverages"
09-11-2023,Thursday,108,13510,2983,"Veg Shawarma, Non Veg Shawarma, Platters, Open Veg Shawarma, Fries, Extras, Veg Momos, Non Veg Momos, Veg Grillers, Veg Rice Bowl, Coolers, Beverages"
10-11-2023,Friday,135,15295,1456,"Non Veg Shawarma, Platters, Desserts, Open Veg Shawarma, Open Non Veg Shawarma,  Veg Salad, Veg Salad, Non Veg Salad, Fries, Non Veg Momos, Non Veg Grillers, Coolers, Frappes, Beverages"
11-11-2023,Saturday,124,89255,939,"Veg Shawarma, Non Veg Shawarma, Desserts, Open Veg Shawarma, Open Non Veg Shawarma, Veg Salad, Non Veg Salad,Non Veg Momos, Veg Grillers, Beverages"
12-11-2023,Sunday,157,16480,1789,"Veg Shawarma, Non Veg Shawarma, Platters, Desserts, Open Non Veg Shawarma, Non Veg Salad, Fries, Extras, Non Veg Momos, Non Veg Grillers, Frappes, Beverages"
13-11-2023,Monday,124,11510,1265,"Veg Shawarma, Non Veg Shawarma, Platters, Desserts, Open Veg Shawarma, Non Veg Salad, Fries, Extras, Veg Momos, Non Veg Grillers, Coolers, Beverages"
14-11-2023,Tuesday,114,10215,1237,"Veg Shawarma, Non Veg Shawarma, Platters, Desserts, Open Veg Shawarma, Veg Salad, Extras, Veg Momos, Coolers, Frappes, Beverages"
15-11-2023,Wednesday,138,13520,1435,"Non Veg Shawarma, Platters, Desserts, Open Non Veg Shawarma, Non Veg Salad, Non Veg Momos, Non Veg Grillers, Coolers, Beverages"
16-11-2023,Thursday,105,10780,2438,"Veg Shawarma, Desserts, Open Veg Shawarma, Non Veg Salad, Fries, Extras, Veg Momos, Veg Grillers, Coolers, Beverages"
17-11-2023,Friday,113,15845,1045,"Veg Shawarma, Non Veg Shawarma, Platters, Desserts, Non Veg Salad, Extras, Veg Momos, Non Veg Momos, Non Veg Grillers, Coolers, Beverages"
18-11-2023,Saturday,127,13640,989,"Veg Shawarma, Non Veg Shawarma, Open Veg Shawarma, Open Non Veg Shawarma, Veg Salad, Non Veg Salad,Non Veg Momos, Coolers, Beverages"
19-11-2023,Sunday,142,18745,1254,"Non Veg Shawarma, Platters, Desserts, Open Veg Shawarma, Open Non Veg Shawarma, Veg Salad, Non Veg Salad, Fries, Non Veg Momos, Non Veg Grillers, Frappes, Beverages"
20-11-2023,Monday,114,15240,1678,"Veg Shawarma, Non Veg Shawarma, Desserts, Open Veg Shawarma, Open Non Veg Shawarma, Veg Salad, Fries, Extras, Veg Momos, Non Veg Momos, Veg Grillers, Coolers, Beverages"
21-11-2023,Tuesday,102,11615,1378,"Veg Shawarma, Non Veg Shawarma, Desserts, Open Non Veg Shawarma, Veg Salad, Extras, Veg Momos, Non Veg Momos, Veg Grillers, Coolers, Frappes, Beverages"
22-11-2023,Wednesday,115,15450,1364,"Veg Shawarma, Non Veg Shawarma, Platters, Desserts, Open Veg Shawarma, Open Non Veg Shawarma, Non Veg Salad, Fries, Extras, Non Veg Momos, Coolers, Frappes, Beverages"
23-11-2023,Thursday,109,10980,1845,"Veg Shawarma, Non Veg Shawarma, Platters, Desserts, Open Veg Shawarma, Veg Salad, Non Veg Salad, Fries, Extras, Veg Momos, Coolers, Frappes, Beverages"
24-11-2023,Friday,124,12640,1343,"Veg Shawarma, Non Veg Shawarma, Platters, Desserts, Open Non Veg Shawarma, Non Veg Salad, Fries, Extras, Non Veg Momos, Non Veg Grillers, Coolers, Frappes, Beverages"
25-11-2023,Saturday,113,14855,985,"Veg Shawarma, Non Veg Shawarma, Platters, Desserts, Open Veg Shawarma, Open Non Veg Shawarma, Veg Salad, Fries, Extras, Veg Momos, Frappes, Beverages"
26-11-2023,Sunday,165,17340,2753,"Non Veg Shawarma, Platters, Desserts, Open Non Veg Shawarma, Non Veg Salad, Non Veg Momos, Non Veg Grillers, Non Veg Rice Bowl, Coolers, Beverages"
27-11-2023,Monday,101,12650,2334,"Veg Shawarma, Non Veg Shawarma, Desserts, Open Veg Shawarma, Open Non Veg Shawarma, Veg Salad, Fries, Extras, Veg Momos, Veg Grillers, Coolers, Beverages"
28-11-2023,Tuesday,97,9935,2445,"Veg Shawarma, Non Veg Shawarma, Platters, Desserts, Open Veg Shawarma, Open Non Veg Shawarma, Veg Salad, Fries, Coolers, Beverages"
29-11-2023,Wednesday,126,13175,913,"Non Veg Shawarma, Platters, Desserts, Open Veg Shawarma, Open Non Veg Shawarma, Veg Salad, Veg Salad, Non Veg Salad, Fries, Non Veg Momos, Coolers, Frappes, Beverages"
30-11-2023,Thursday,109,11115,1743,"Veg Shawarma, Platters, Open Veg Shawarma, Open Non Veg Shawarma, Veg Salad, Veg Salad, Non Veg Salad, Fries, Non Veg Momos, Frappes, Beverages"
01-12-2023,Friday,122,14745,1464,"Veg Shawarma, Non Veg Shawarma, Platters, Desserts, Non Veg Salad, Fries, Extras, Veg Momos, Non Veg Momos, Non Veg Rice Bowl, Coolers, Beverages"
02-12-2023,Saturday,113,12460,1158,"Veg Shawarma, Non Veg Shawarma, Platters, Desserts, Open Veg Shawarma, Veg Salad, Non Veg Salad, Fries, Extras, Veg Momos, Coolers, Beverages"
03-12-2023,Sunday,166,19545,2145,"Veg Shawarma, Non Veg Shawarma, Desserts, Non Veg Salad, Fries, Extras, Veg Momos, Non Veg Momos, Non Veg Grillers, Coolers, Beverages"
04-12-2023,Monday,102,10130,1275,"Veg Shawarma, Non Veg Shawarma, Platters, Desserts, Open Veg Shawarma, Non Veg Salad, Fries, Extras, Veg Momos, Non Veg Grillers, Veg Rice Bowl, Coolers, Frappes, Beverages"
05-12-2023,Tuesday,97,99525,3234,"Veg Shawarma, Non Veg Shawarma, Desserts, Open Veg Shawarma, Veg Salad, Fries, Coolers, Frappes, Beverages"
06-12-2023,Wednesday,121,14530,2745,"Non Veg Shawarma, Platters, Open Veg Shawarma, Open Non Veg Shawarma, Veg Salad, Veg Salad, Non Veg Salad, Fries, Non Veg Momos, Coolers, Frappes, Beverages"
07-12-2023,Thursday,105,11445,1451,"Veg Shawarma, Non Veg Shawarma, Platters, Desserts, Open Veg Shawarma, Open Non Veg Shawarma, Veg Salad, Fries, Coolers, Frappes, Beverages"
08-12-2023,Friday,132,14645,2873,"Non Veg Shawarma, Platters, Desserts, Open Veg Shawarma, Open Non Veg Shawarma,  Veg Salad, Veg Salad, Non Veg Salad, Fries, Non Veg Momos, Coolers, Frappes, Beverages"
09-12-2023,Saturday,93,12450,1360,"Veg Shawarma, Non Veg Shawarma, Open Veg Shawarma, Open Non Veg Shawarma, Veg Salad, Non Veg Salad,Non Veg Momos, Veg Grillers, Coolers Beverages"
10-12-2023,Sunday,135,19550,2580,"Veg Shawarma, Non Veg Shawarma, Platters, Desserts, Open Non Veg Shawarma, Non Veg Salad, Fries, Extras, Non Veg Momos, Non Veg Grillers, Frappes, Beverages"
11-12-2023,Monday,111,10120,1522,"Veg Shawarma, Non Veg Shawarma, Platters, Desserts, Open Veg Shawarma, Non Veg Salad, Fries, Extras, Veg Momos, Non Veg Grillers, Coolers, Beverages"
12-12-2023,Tuesday,103,99515,1709,"Veg Shawarma, Non Veg Shawarma, Platters, Desserts, Open Veg Shawarma, Veg Salad, Extras, Veg Momos, Coolers, Frappes, Beverages"
13-12-2023,Wednesday,126,14520,2321,"Non Veg Shawarma, Platters, Desserts, Open Non Veg Shawarma, Non Veg Salad, Non Veg Momos, Non Veg Grillers, Coolers, Frappes, Beverages"
14-12-2023,Thursday,117,11545,2467,"Veg Shawarma, Desserts, Open Veg Shawarma, Non Veg Salad, Fries, Extras, Veg Momos, Veg Grillers, Coolers, Beverages"
15-12-2023,Friday,131,16235,1899,"Veg Shawarma, Non Veg Shawarma, Platters, Desserts, Non Veg Salad, Extras, Veg Momos, Non Veg Momos, Non Veg Grillers, Coolers, Beverages"
16-12-2023,Saturday,124,14695,913,"Veg Shawarma, Non Veg Shawarma, Open Veg Shawarma, Open Non Veg Shawarma, Veg Salad, Non Veg Salad,Non Veg Momos, Coolers, Beverages"
17-12-2023,Sunday,145,17855,2743,"Non Veg Shawarma, Platters, Desserts, Open Veg Shawarma, Open Non Veg Shawarma,  Veg Salad, Non Veg Salad, Fries, Non Veg Momos, Non Veg Grillers, Frappes, Beverages"
18-12-2023,Monday,115,11235,1464,"Veg Shawarma, Non Veg Shawarma, Desserts, Open Veg Shawarma, Open Non Veg Shawarma, Veg Salad, Fries, Extras, Veg Momos, Non Veg Momos, Veg Grillers, Coolers, Beverages"
19-12-2023,Tuesday,111,10110,1158,"Veg Shawarma, Non Veg Shawarma, Desserts, Open Non Veg Shawarma, Veg Salad, Extras, Veg Momos, Non Veg Momos, Veg Grillers, Coolers, Frappes, Beverages"
20-12-2023,Wednesday,127,14560,2145,"Veg Shawarma, Non Veg Shawarma, Platters, Desserts, Open Veg Shawarma, Open Non Veg Shawarma, Non Veg Salad, Fries, Extras, Non Veg Momos, Coolers, Frappes, Beverages"
21-12-2023,Thursday,106,11440,1275,"Veg Shawarma, Non Veg Shawarma, Platters, Desserts, Open Veg Shawarma, Veg Salad, Non Veg Salad, Fries, Extras, Veg Momos, Coolers, Frappes, Beverages"
22-12-2023,Friday,135,16970,3234,"Veg Shawarma, Non Veg Shawarma, Platters, Desserts, Open Non Veg Shawarma, Non Veg Salad, Fries, Extras, Non Veg Momos, Non Veg Grillers, Coolers, Frappes, Beverages"
23-12-2023,Saturday,123,14550,2745,"Veg Shawarma, Non Veg Shawarma, Platters, Desserts, Open Veg Shawarma, Open Non Veg Shawarma, Veg Salad, Fries, Extras, Veg Momos, Frappes, Beverages"
24-12-2023,Sunday,167,18865,3451,"Non Veg Shawarma, Platters, Desserts, Non Veg Salad, Non Veg Momos, Non Veg Grillers, Non Veg Rice Bowl, Coolers, Frappes, Beverages"
25-12-2023,Monday,121,14450,2873,"Veg Shawarma, Non Veg Shawarma, Desserts, Open Veg Shawarma, Open Non Veg Shawarma, Veg Salad, Fries, Veg Momos, Veg Grillers, Coolers, Beverages"
26-12-2023,Tuesday,111,10215,1360,"Veg Shawarma, Non Veg Shawarma, Platters, Desserts, Open Veg Shawarma, Open Non Veg Shawarma, Veg Salad, Fries, Extras,Coolers, Frappes, Beverages"
27-12-2023,Wednesday,128,14865,2580,"Non Veg Shawarma, Platters, Desserts, Open Veg Shawarma, Open Non Veg Shawarma, Veg Salad, Veg Salad, Non Veg Salad, Fries, Non Veg Momos, Coolers, Frappes, Beverages"
28-12-2023,Thursday,95,9965,1522,"Non Veg Shawarma, Platters, Open Veg Shawarma, Veg Salad, Non Veg Salad, Fries, Veg Momos, Frappes, Beverages"
29-12-2023,Friday,162,18695,1709,"Veg Shawarma, Non Veg Shawarma, Desserts, Non Veg Salad, Extras, Veg Momos, Non Veg Momos, Non Veg Rice Bowl, Coolers, Beverages"
30-12-2023,Saturday,105,11545,2321,"Veg Shawarma, Non Veg Shawarma, Platters, Desserts, Open Veg Shawarma, Veg Salad, Non Veg Salad, Extras, Veg Momos, Coolers, Beverages"
31-12-2023,Sunday,180,21655,3467,"Veg Shawarma, Non Veg Shawarma, Desserts, Non Veg Salad, Fries, Extras, Veg Momos, Non Veg Momos, Non Veg Grillers, Coolers, Frappes, Beverages"
01-01-2024,Monday,103,10335,1899,"Veg Shawarma, Non Veg Shawarma, Platters, Desserts, Open Veg Shawarma, Non Veg Salad, Fries, Extras, Veg Momos, Non Veg Grillers, Veg Rice Bowl, Coolers, Frappes, Beverages"
02-01-2024,Tuesday,99,9540,1789,"Veg Shawarma, Non Veg Shawarma, Desserts, Open Veg Shawarma, Veg Salad, Fries, Extras, Coolers, Frappes, Beverages"
03-01-2024,Wednesday,122,14510,1265,"Non Veg Shawarma, Platters, Open Non Veg Shawarma, Veg Salad, Non Veg Salad, Fries, Non Veg Momos, Coolers, Frappes, Beverages"
04-01-2024,Thursday,107,10945,1237,"Veg Shawarma, Non Veg Shawarma, Desserts, Open Veg Shawarma, Veg Salad, Fries, Extras, Veg Momos, Veg Momos, Veg Grillers, Coolers, Beverages"
05-01-2024,Friday,132,15285,1435,"Veg Shawarma, Non Veg Shawarma, Desserts, Non Veg Salad, Fries, Extras, Veg Momos, Non Veg Momos, Non Veg Grillers, Non Veg Rice Bowl, Coolers, Frappes, Beverages"
06-01-2024,Saturday,93,9155,438,"Non Veg Shawarma, Desserts, Open Veg Shawarma, Open Non Veg Shawarma, Non Veg Salad, Fries, Non Veg Momos, Frappes, Beverages"
07-01-2024,Sunday,135,16485,6045,"Veg Shawarma, Non Veg Shawarma, Desserts, Open Veg Shawarma, Open Non Veg Shawarma, Non Veg Salad, Fries, Extras, Veg Momos, Non Veg Momos, Veg Grillers, Coolers, Frappes, Beverages"
08-01-2024,Monday,111,11520,989,"Veg Shawarma, Non Veg Shawarma, Platters, Desserts, Non Veg Salad, Extras, Veg Momos, Non Veg Momos, Non Veg Grillers, Coolers, Frappes, Beverages"
09-01-2024,Tuesday,102,10205,1254,"Veg Shawarma, Non Veg Shawarma, Desserts, Open Veg Shawarma, Veg Salad, Fries, Extras, Veg Momos, Veg Grillers, Veg Rice Bowl, Coolers, Beverages"
